ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042542,response to hydrogen peroxide,16/1424,108/21338,0.14814814814814814,2.21993341656263,3.398720337134721,0.002126571630097762,0.012499816471179733,0.008768632601475854,HMOX1/COL1A1/AREG/IL18RAP/TNFAIP3/DUSP1/RIPK3/IL6/CYP1B1/TRPM2/LCN2/MAPK13/PRKCD/ADAM9/PDGFD/HP,16
GO:0006925,inflammatory cell apoptotic process,8/1424,36/21338,0.2222222222222222,3.329900124843945,3.7412849482687687,0.002170313361485454,0.012662829380974667,0.008882986305675033,ANXA1/CTSL/IL6/CCR5/NOD2/HCAR2/FCAR/CCL5,8
GO:0010466,negative regulation of peptidase activity,5/1424,15/21338,0.3333333333333333,4.994850187265917,4.138704270912332,0.0022426639061078136,0.012989152769998917,0.009111902459301732,SERPINB1/TIMP1/ECM1/CRB2/CR1,5
GO:1902337,regulation of apoptotic process involved in morphogenesis,5/1424,15/21338,0.3333333333333333,4.994850187265917,4.138704270912332,0.0022426639061078136,0.012989152769998917,0.009111902459301732,TNFRSF1B/TNFRSF1A/VDR/PML/FOXC2,5
GO:0070588,calcium ion transmembrane transport,39/1424,363/21338,0.10743801652892562,1.6099103909369488,3.1340850807499905,0.002287360528630305,0.013234185211103446,0.009283792939169363,MCUB/CD4/CYBA/MCOLN3/PTPRC/ITPR3/CEMIP/JPH1/KCNN4/TGFB1/CAV1/PTPN6/PLCH1/PTK2B/NGF/TMBIM1/PLCB2/PML/TRPM2/CNGA3/CACNA2D4/CCR5/TMC1/CXCL10/CXCL11/SLN/TMEM37/P2RY6/CCL19/XCR1/CHRNA9/CATSPER1/LCK/GAS6/ANO9/CXCR3/PLCG2/RYR3/LYN,39
GO:0014911,positive regulation of smooth muscle cell migration,10/1424,53/21338,0.18867924528301888,2.8272736909052365,3.561616303752207,0.0023663124878364958,0.013591568719035971,0.009534497794405624,NRP1/CCN4/POSTN/ADAMTS1/DDR2/S100A11/ITGA2/PDGFD/AIF1/CCL5,10
GO:0062197,cellular response to chemical stress,39/1424,365/21338,0.10684931506849316,1.6010889641372943,3.097400257748805,0.0025205849971894016,0.01437330497367427,0.010082886486670165,WNT16/ALDH3B1/MGST1/ALOX5/FAS/PTGS2/SLC4A11/PYCARD/RELB/CAV1/SOD3/IL18RAP/ERRFI1/TNFAIP3/RIPK3/GDF15/STK26/IL6/CASP1/CYP1B1/FBLN5/PML/TRPM2/LCN2/MMP3/PLA2R1/MAPK13/CYGB/NLRP3/DDR2/ZC3H12A/PRKCD/GPX8/CA3/FBP1/BDKRB2/PDGFD/MB/AIF1,39
GO:0051090,regulation of DNA-binding transcription factor activity,27/1424,227/21338,0.11894273127753303,1.7823033707865168,3.1686637035824505,0.0025536910073061148,0.01454710607762753,0.010204808118864593,LTF/ZIC2/ARHGEF5/BCL3/HCK/PYCARD/IL18R1/IL18RAP/CLU/RIPK3/HAVCR2/TLR2/CYP1B1/ESR2/IL18/NLRP3/DDR2/S100A12/NOD2/CMKLR1/NUPR1/PARP10/ROR1/NWD1/NTRK1/CARD16/ADORA3,27
GO:0046330,positive regulation of JNK cascade,17/1424,120/21338,0.14166666666666666,2.122811329588015,3.2982806623108747,0.0025595138819009605,0.014550337129451354,0.010207074704652052,WNT16/FCGR2B/GADD45B/PYCARD/DKK1/LTBR/GADD45A/SLAMF1/CCN2/PTK2B/IL1B/EDA2R/TNFRSF11A/FZD7/F2RL1/NOD2/CCL19,17
GO:0006883,intracellular sodium ion homeostasis,6/1424,22/21338,0.2727272727272727,4.086695607763023,3.873421068389617,0.0025768226569919876,0.014588821116323758,0.010234071256377607,SCNN1A/IL1A/ATP1B2/TMPRSS3/SCNN1G/SCNN1B,6
GO:0098761,cellular response to interleukin-7,6/1424,22/21338,0.2727272727272727,4.086695607763023,3.873421068389617,0.0025768226569919876,0.014588821116323758,0.010234071256377607,JAK3/STAT5A/LSP1/TSLP/IL2RG/IL7R,6
GO:0051043,regulation of membrane protein ectodomain proteolysis,8/1424,37/21338,0.21621621621621623,3.239902824172487,3.6464684897387905,0.0026095563945724245,0.014698996700658714,0.010311359528802536,TNFRSF1B/TIMP1/IL1B/IL10/FURIN/ADAM8/PACSIN3/ADAM9,8
GO:0002418,immune response to tumor cell,10/1424,54/21338,0.18518518518518517,2.7749167707032876,3.4921321467448925,0.0027336662399476096,0.015320151792095055,0.010747100389310335,GZMB/TGFB1/NKG7/CRTAM/CD274/HAVCR2/MR1/PRF1/HLA-DRB1/MICA,10
GO:0048511,rhythmic process,35/1424,321/21338,0.10903426791277258,1.6338295005075432,3.0597223916299527,0.0029307428161538212,0.01626004305916203,0.011406434966361777,NOS2/CA12/AFP/OPRK1/RELB/RETN/NAMPT/TGFB3/EGR1/BHLHE41/MMP19/TNFAIP6/EREG/NR1D1/STAT5A/ASS1/SERPINF1/BHLHE40/NGF/MTTP/PML/TNFRSF11A/COL6A1/HTR7/ADAMTS1/ADORA1/PTX3/NPAS2/CAVIN3/EGR3/GPR157/NPY2R/CLDN4/NTRK1/RORB,35
GO:2000351,regulation of endothelial cell apoptotic process,13/1424,82/21338,0.15853658536585366,2.3755994793094,3.337340970937111,0.0029358179275516334,0.016271895760614007,0.01141474964718985,ICAM1/CD40/TGFB1/SERPINE1/GATA3/CCL2/F3/TNFAIP3/THBS1/ANGPT1/ANGPTL4/CD248/GAS6,13
GO:0009072,aromatic amino acid metabolic process,9/1424,46/21338,0.1956521739130435,2.9317598925256476,3.507246204392474,0.00297974242167961,0.01629908704643518,0.011433824358876804,HAL/FAH/HGD/KYNU/IDO1/HDC/TDO2/HPD/TAT,9
GO:0048483,autonomic nervous system development,9/1424,46/21338,0.1956521739130435,2.9317598925256476,3.507246204392474,0.00297974242167961,0.01629908704643518,0.011433824358876804,TP63/NRP1/GATA3/FN1/NRP2/EGR2/HLX/VCAM1/NTRK1,9
