Pathway,CellType,rho,p_value,p_adjust,Subtype
Proliferation__nuclear.chromosome.segregation,TAM,-0.44328725038402456,2.2527801988900118e-7,8.917254953939631e-7,ME
Proliferation__sister.chromatid.segregation,TAM,-0.44084792626728103,2.670175147183729e-7,1.0264150551557235e-6,ME
Proliferation__nuclear.division,TAM,-0.46584946236559127,4.384506076856567e-8,1.983467034768447e-7,ME
Proliferation__mRNA.processing,TAM,-0.6142365591397848,2.5759462105766476e-14,2.7190543333864613e-13,ME
Neural__central.nervous.system.neuron.differentiation,TAM,-0.27177880184331793,0.002169589245930172,0.004149885470403349,ME
Neural__regulation.of.postsynaptic.membrane.potential,TAM,-0.10070660522273424,0.26379506327689445,0.30938927174450587,ME
Neural__synapse.assembly,TAM,-0.2891674347158218,0.0010729071857344555,0.0021786869817438373,ME
Neural__regulation.of.synapse.structure.or.activity,TAM,-0.27532411674347157,0.001886245824148912,0.0036820552046742464,ME
Neural__axonogenesis,TAM,-0.33669431643625186,1.2340757646007934e-4,3.112491972665718e-4,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,Microglia,0.7481781874039938,1.1632403208723988e-23,3.3152349144863365e-22,ME
MesWoundHealing__adaptive.immune.response,Microglia,0.7871397849462364,1.3915717584022846e-27,6.609965852410852e-26,ME
MesWoundHealing__positive.regulation.of.cytokine.production,Microglia,0.792817204301075,3.185066116904381e-28,1.8154876866354972e-26,ME
MesWoundHealing__leukocyte.mediated.immunity,Microglia,0.8195514592933947,1.564536693934707e-31,2.2294647888569576e-29,ME
MesWoundHealing__leukocyte.migration,Microglia,0.7608725038402456,7.417932045688299e-25,2.3490118144679615e-23,ME
Proliferation__chromosome.segregation,Microglia,-0.4490138248847926,1.503611540065455e-7,6.210569404618184e-7,ME
Proliferation__nuclear.chromosome.segregation,Microglia,-0.4139907834101382,1.5931739036104032e-6,5.405411458678154e-6,ME
Proliferation__sister.chromatid.segregation,Microglia,-0.41270046082949297,1.7293085297949769e-6,5.798269776371393e-6,ME
Proliferation__nuclear.division,Microglia,-0.4355821812596006,3.83658166095901e-7,1.4387181228596287e-6,ME
Proliferation__mRNA.processing,Microglia,-0.579231950844854,1.4779983213082055e-12,1.2764530956752684e-11,ME
Neural__central.nervous.system.neuron.differentiation,Microglia,-0.27276804915514585,0.002086884525380275,0.004045959247994632,ME
Neural__regulation.of.postsynaptic.membrane.potential,Microglia,-0.09039016897081412,0.31610506510202085,0.3632659014277256,ME
Neural__synapse.assembly,Microglia,-0.2785990783410138,0.0016547923053226283,0.0032751097709510352,ME
Neural__regulation.of.synapse.structure.or.activity,Microglia,-0.26624270353302604,0.0026896789149406467,0.005043147965513713,ME
Neural__axonogenesis,Microglia,-0.32436866359447,2.238865104242299e-4,5.230135694336517e-4,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,DC,0.6364485407066052,1.503748271770095e-15,1.7857010727269878e-14,ME
MesWoundHealing__adaptive.immune.response,DC,0.6947526881720429,2.5512570088502945e-19,4.544426547014587e-18,ME
MesWoundHealing__positive.regulation.of.cytokine.production,DC,0.6675514592933947,1.8677755748420974e-17,2.5348382801428463e-16,ME
MesWoundHealing__leukocyte.mediated.immunity,DC,0.6906973886328723,4.985738977741297e-19,7.478608466611945e-18,ME
MesWoundHealing__leukocyte.migration,DC,0.6072811059907832,5.992869135664427e-14,6.099884655944149e-13,ME
Proliferation__chromosome.segregation,DC,-0.3796251920122887,1.2636942438441014e-5,3.601528594955689e-5,ME
Proliferation__nuclear.chromosome.segregation,DC,-0.3277419354838709,1.906837051300593e-4,4.566794618661084e-4,ME
Proliferation__sister.chromatid.segregation,DC,-0.3121290322580645,3.94691885279076e-4,8.719937000351678e-4,ME
Proliferation__nuclear.division,DC,-0.34804915514592927,6.97005013783863e-5,1.839318786374083e-4,ME
Proliferation__mRNA.processing,DC,-0.5246267281105991,3.3863453703846863e-10,2.0534221926800757e-9,ME
Neural__central.nervous.system.neuron.differentiation,DC,-0.1529769585253456,0.08853215886634691,0.11131540385595065,ME
Neural__regulation.of.postsynaptic.membrane.potential,DC,-0.07485714285714284,0.40671679193152455,0.45815923201772524,ME
Neural__synapse.assembly,DC,-0.29518894009216584,8.319190237283682e-4,0.0017433597188425364,ME
Neural__regulation.of.synapse.structure.or.activity,DC,-0.20081105990783407,0.02473568842397424,0.035604400004205346,ME
Neural__axonogenesis,DC,-0.2243502304147465,0.011894396916273114,0.01871567824428846,ME
